"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "Markdown", "JSON", "Properties", "reStructuredText", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\ext.py", "Python", 549, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 131, 860
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\filters.py", "Python", 879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 684, 278, 1841
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\idtracking.py", "Python", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 72, 319
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\lexer.py", "Python", 592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 118, 867
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\loaders.py", "Python", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 94, 662
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\meta.py", "Python", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 17, 112
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\nativetypes.py", "Python", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 29, 131
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\nodes.py", "Python", 628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 275, 302, 1205
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\optimizer.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 48
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\parser.py", "Python", 844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 103, 1033
